PO_Number,Supplier,IssueDate,RequiredDate,Buyer,LineCount,TotalValueRM,ContractRef,LinkedSO,Status,QuantityVariancePct,Notes
PO-MY-2026-08801,ABB Malaysia,2026-04-12,2026-05-10,Aishah Rahman,4,182500.00,CT-ABB-2025-014,SO-MY-2026-04201,Closed,0,
PO-MY-2026-08815,ABB Malaysia,2026-04-20,2026-05-18,Aishah Rahman,2,288400.00,CT-ABB-2025-014,SO-MY-2026-04217,Open,5,
PO-MY-2026-08820,ABB Malaysia,2026-04-25,2026-05-15,Aishah Rahman,1,312000.00,,SO-MY-2026-04221,Open,0,No contract reference
PO-MY-2026-08825,ABB Malaysia,2026-05-01,2026-05-22,Aishah Rahman,3,142850.00,CT-ABB-2025-014,SO-MY-2026-04255,Open,2,
PO-MY-2026-08831,ABB Malaysia,2026-05-04,2026-05-12,Aishah Rahman,6,68420.00,CT-ABB-2025-014,,Open,-15,Late delivery - past required date
PO-MY-2026-08838,ABB Malaysia,2026-05-08,2026-05-29,Aishah Rahman,2,388200.00,CT-ABB-2025-014,SO-MY-2026-04270,Open,0,
PO-MY-2026-08842,ABB Malaysia,2026-05-10,2026-05-18,Aishah Rahman,1,28500.00,CT-ABB-2025-014,,Open,3,
PO-MY-2026-08847,ABB Malaysia,2026-05-12,2026-05-30,Aishah Rahman,4,182400.00,CT-ABB-2025-014,SO-MY-2026-04241,Open,12,Qty variance >10% vs originating SO
PO-MY-2026-08850,ABB Malaysia,2026-05-14,2026-06-04,Aishah Rahman,2,98420.00,CT-ABB-2025-014,SO-MY-2026-04232,Open,0,
PO-MY-2026-08854,ABB Malaysia,2026-05-16,2026-05-15,Aishah Rahman,3,425800.00,,,Open,18,No contract ref + high value + qty variance
PO-MY-2026-08858,ABB Malaysia,2026-05-18,2026-06-08,Aishah Rahman,5,128500.00,CT-ABB-2025-014,SO-MY-2026-04260,Open,4,
PO-MY-2026-08862,ABB Malaysia,2026-05-19,2026-06-10,Aishah Rahman,8,212400.00,CT-ABB-2025-014,SO-MY-2026-04270,Open,0,
